#Number	Time
101	0.000002
103	0.000001
107	0.000001
109	0.000000
113	0.000001
127	0.000001
131	0.000001
137	0.000000
139	0.000000
149	0.000000
151	0.000000
157	0.000001
163	0.000001
167	0.000001
173	0.000001
179	0.000000
181	0.000000
191	0.000000
193	0.000000
197	0.000000
199	0.000000
211	0.000001
223	0.000001
227	0.000001
229	0.000000
233	0.000000
239	0.000001
241	0.000001
251	0.000000
257	0.000001
263	0.000001
269	0.000000
271	0.000000
277	0.000001
281	0.000001
283	0.000000
293	0.000000
307	0.000000
311	0.000001
313	0.000000
317	0.000001
331	0.000001
337	0.000001
347	0.000001
349	0.000001
353	0.000001
359	0.000000
367	0.000001
373	0.000001
379	0.000001
383	0.000001
389	0.000000
397	0.000001
401	0.000001
409	0.000001
419	0.000001
421	0.000000
431	0.000001
433	0.000001
439	0.000001
443	0.000001
449	0.000001
457	0.000001
461	0.000001
463	0.000001
467	0.000001
479	0.000001
487	0.000001
491	0.000001
499	0.000001
503	0.000001
509	0.000001
521	0.000001
523	0.000000
541	0.000001
547	0.000001
557	0.000001
563	0.000001
569	0.000001
571	0.000001
577	0.000001
587	0.000001
593	0.000000
599	0.000000
601	0.000001
607	0.000000
613	0.000001
617	0.000000
619	0.000001
631	0.000000
641	0.000001
643	0.000001
647	0.000001
653	0.000001
659	0.000001
661	0.000001
673	0.000001
677	0.000001
683	0.000001
691	0.000001
701	0.000001
709	0.000001
719	0.000001
727	0.000001
733	0.000000
739	0.000001
743	0.000001
751	0.000001
757	0.000001
761	0.000001
769	0.000001
773	0.000001
787	0.000001
797	0.000001
809	0.000001
811	0.000001
821	0.000001
823	0.000001
827	0.000000
829	0.000001
839	0.000001
853	0.000001
857	0.000001
859	0.000001
863	0.000001
877	0.000001
881	0.000000
883	0.000001
887	0.000001
907	0.000001
911	0.000001
919	0.000001
929	0.000001
937	0.000001
941	0.000001
947	0.000001
953	0.000001
967	0.000001
971	0.000001
977	0.000001
983	0.000001
991	0.000001
997	0.000001
1009	0.000001
1013	0.000001
1019	0.000001
1021	0.000001
1031	0.000001
1033	0.000001
1039	0.000001
1049	0.000001
1051	0.000001
1061	0.000001
1063	0.000001
1069	0.000001
1087	0.000001
1091	0.000001
1093	0.000001
1097	0.000001
1103	0.000001
1109	0.000001
1117	0.000001
1123	0.000001
1129	0.000001
1151	0.000001
1153	0.000001
1163	0.000001
1171	0.000001
1181	0.000001
1187	0.000001
1193	0.000002
1201	0.000002
1213	0.000001
1217	0.000001
1223	0.000001
1229	0.000001
1231	0.000001
1237	0.000001
1249	0.000001
1259	0.000001
1277	0.000001
1279	0.000001
1283	0.000001
1289	0.000001
1291	0.000001
1297	0.000001
1301	0.000001
1303	0.000001
1307	0.000001
1319	0.000001
1321	0.000001
1327	0.000002
1361	0.000002
1367	0.000001
1373	0.000001
1381	0.000001
1399	0.000001
1409	0.000001
1423	0.000001
1427	0.000001
1429	0.000001
1433	0.000001
1439	0.000001
1447	0.000001
1451	0.000001
1453	0.000001
1459	0.000001
1471	0.000001
1481	0.000001
1483	0.000001
1487	0.000001
1489	0.000001
1493	0.000002
1499	0.000001
1511	0.000002
1523	0.000001
1531	0.000001
1543	0.000001
1549	0.000001
1553	0.000001
1559	0.000001
1567	0.000001
1571	0.000001
1579	0.000001
1583	0.000002
1597	0.000001
1601	0.000001
1607	0.000001
1609	0.000001
1613	0.000001
1619	0.000001
1621	0.000002
1627	0.000001
1637	0.000001
1657	0.000001
1663	0.000001
1667	0.000001
1669	0.000002
1693	0.000002
1697	0.000001
1699	0.000001
1709	0.000001
1721	0.000001
1723	0.000001
1733	0.000001
1741	0.000001
1747	0.000001
1753	0.000001
1759	0.000001
1777	0.000001
1783	0.000001
1787	0.000001
1789	0.000001
1801	0.000002
1811	0.000001
1823	0.000001
1831	0.000001
1847	0.000001
1861	0.000002
1867	0.000001
1871	0.000001
1873	0.000001
1877	0.000001
1879	0.000002
1889	0.000001
1901	0.000001
1907	0.000002
1913	0.000001
1931	0.000001
1933	0.000001
1949	0.000002
1951	0.000002
1973	0.000001
1979	0.000001
1987	0.000001
1993	0.000001
1997	0.000001
1999	0.000001
2003	0.000001
2011	0.000001
2017	0.000001
2027	0.000002
2029	0.000002
2039	0.000002
2053	0.000001
2063	0.000001
2069	0.000001
2081	0.000001
2083	0.000001
2087	0.000001
2089	0.000002
2099	0.000002
2111	0.000001
2113	0.000001
2129	0.000002
2131	0.000002
2137	0.000001
2141	0.000002
2143	0.000002
2153	0.000002
2161	0.000001
2179	0.000002
2203	0.000001
2207	0.000001
2213	0.000001
2221	0.000001
2237	0.000001
2239	0.000001
2243	0.000002
2251	0.000001
2267	0.000001
2269	0.000001
2273	0.000001
2281	0.000001
2287	0.000001
2293	0.000001
2297	0.000001
2309	0.000002
2311	0.000002
2333	0.000001
2339	0.000001
2341	0.000001
2347	0.000002
2351	0.000001
2357	0.000001
2371	0.000001
2377	0.000001
2381	0.000001
2383	0.000001
2389	0.000001
2393	0.000001
2399	0.000001
2411	0.000001
2417	0.000001
2423	0.000001
2437	0.000002
2441	0.000001
2447	0.000002
2459	0.000001
2467	0.000002
2473	0.000001
2477	0.000002
2503	0.000001
2521	0.000002
2531	0.000001
2539	0.000002
2543	0.000001
2549	0.000002
2551	0.000002
2557	0.000001
2579	0.000001
2591	0.000002
2593	0.000002
2609	0.000001
2617	0.000002
2621	0.000001
2633	0.000002
2647	0.000001
2657	0.000001
2659	0.000001
2663	0.000001
2671	0.000002
2677	0.000001
2683	0.000002
2687	0.000001
2689	0.000001
2693	0.000001
2699	0.000001
2707	0.000001
2711	0.000001
2713	0.000001
2719	0.000002
2729	0.000002
2731	0.000002
2741	0.000002
2749	0.000002
2753	0.000001
2767	0.000001
2777	0.000001
2789	0.000001
2791	0.000001
2797	0.000002
2801	0.000001
2803	0.000001
2819	0.000001
2833	0.000002
2837	0.000002
2843	0.000001
2851	0.000001
2857	0.000001
2861	0.000002
2879	0.000001
2887	0.000001
2897	0.000001
2903	0.000002
2909	0.000001
2917	0.000001
2927	0.000001
2939	0.000001
2953	0.000001
2957	0.000001
2963	0.000002
2969	0.000001
2971	0.000001
2999	0.000001
3001	0.000002
3011	0.000001
3019	0.000002
3023	0.000002
3037	0.000001
3041	0.000001
3049	0.000002
3061	0.000001
3067	0.000001
3079	0.000002
3083	0.000001
3089	0.000002
3109	0.000002
3119	0.000002
3121	0.000002
3137	0.000002
3163	0.000001
3167	0.000001
3169	0.000001
3181	0.000001
3187	0.000002
3191	0.000001
3203	0.000001
3209	0.000002
3217	0.000001
3221	0.000002
3229	0.000001
3251	0.000002
3253	0.000002
3257	0.000002
3259	0.000002
3271	0.000002
3299	0.000001
3301	0.000001
3307	0.000002
3313	0.000001
3319	0.000002
