	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	
1024m	399.7	384.0	370.6	345.7	334.2	319.1	302.6	289.2	277.2	267.2	253.7	241.5	228.0	210.5	194.9	185.6	
512m	400.0	384.2	369.8	345.3	335.8	320.8	306.1	284.3	280.5	266.9	251.6	239.9	231.3	211.6	193.9	184.9	
256m	399.8	383.2	370.3	346.2	333.1	324.0	298.9	281.3	285.5	276.5	261.9	249.4	240.9	222.2	205.1	193.3	
128m	399.5	382.6	368.4	348.7	338.1	312.5	298.5	296.2	263.6	275.9	262.7	250.9	236.5	220.3	199.1	192.4	
64m	398.5	383.2	364.2	348.9	324.8	324.2	308.7	288.6	287.4	275.8	212.8	249.2	239.3	219.6	159.2	191.2	
32m	398.6	383.4	359.7	344.2	337.8	324.0	311.1	242.9	273.0	274.4	262.9	251.1	240.8	217.3	171.1	162.9	
16m	400.3	383.5	360.9	340.9	322.5	323.4	310.1	296.2	290.3	276.5	264.4	253.1	242.0	221.7	204.2	151.4	
8m	399.3	381.8	371.3	349.8	338.9	322.2	308.3	294.0	289.9	275.9	266.3	255.0	242.6	222.8	205.2	193.4	
4m	395.8	383.3	371.0	351.5	290.1	322.3	314.0	299.5	292.2	272.0	265.1	253.0	237.3	220.1	204.5	199.7	
2m	407.7	398.2	395.2	381.2	366.9	364.0	354.3	341.5	341.4	334.2	325.6	311.0	314.0	312.1	307.2	296.8	
1024k	407.6	397.4	399.2	380.6	372.9	367.8	360.7	346.6	350.1	342.7	334.8	330.2	327.5	326.4	324.3	311.0	
512k	410.1	396.9	401.2	385.9	370.5	367.4	361.5	346.4	349.0	341.7	334.2	330.1	327.9	327.3	324.5	310.6	
256k	410.1	396.8	401.3	385.9	370.6	367.2	360.7	346.4	348.8	342.9	334.2	329.6	327.3	326.5	323.9	311.2	
128k	409.9	396.6	401.8	385.5	370.3	366.9	360.2	345.6	348.3	342.2	333.2	328.1	326.5	326.2	322.1	311.9	
64k	409.8	396.3	401.8	385.1	369.8	366.5	359.5	345.0	347.2	340.9	332.7	327.8	325.3	323.9	320.0	311.3	
32k	409.4	408.1	407.2	405.3	404.6	403.0	401.2	395.6	397.5	397.1	396.3	391.2	392.9	393.9	390.7	373.3	
16k	409.1	407.7	406.3	404.5	403.5	402.7	400.4	395.6	398.1	397.1	395.9	393.9	393.3	392.1	391.2	376.1	
8k	407.8	405.3	402.7	399.9	397.1	394.7	393.0	382.9	387.0	385.5	382.4	380.1	378.7	376.5	372.9	361.5	
4k	405.3	399.9	394.7	389.9	385.5	380.1	376.5	372.4	367.7	362.7	356.0	351.8	352.4	342.5	342.3	341.6	
2k	400.4	390.9	381.5	372.4	360.6	354.3	342.5	341.6	343.9	322.5	329.9	309.1	317.2	299.1	304.3	290.9	
1k	390.9	372.4	354.3	341.6	333.4	309.1	317.0	295.5	288.4	264.9	276.1	252.3	263.8	236.0	241.2	227.1	
